LocationID,LocationName,StateAbbr,StateDesc,TotalPopulation
12055,Highlands,FL,Florida,"107,614"
12085,Martin,FL,Florida,"163,315"
13047,Catoosa,GA,Georgia,"68,910"
13185,Lowndes,GA,Georgia,"120,712"
13287,Turner,GA,Georgia,"8,909"
13289,Twiggs,GA,Georgia,"7,691"
16035,Clearwater,ID,Idaho,"9,214"
18021,Clay,IN,Indiana,"26,460"
18081,Johnson,IN,Indiana,"167,819"
20085,Jackson,KS,Kansas,"13,368"
26009,Antrim,MI,Michigan,"24,409"
27089,Marshall,MN,Minnesota,"8,810"
31135,Perkins,NE,Nebraska,"2,795"
32021,Mineral,NV,Nevada,"4,528"
36097,Schuyler,NY,New York,"17,507"
37083,Halifax,NC,North Carolina,"47,298"
38095,Towner,ND,North Dakota,"2,030"
39097,Madison,OH,Ohio,"44,602"
40075,Kiowa,OK,Oklahoma,"8,398"
40101,Muskogee,OK,Oklahoma,"66,677"
40109,Oklahoma,OK,Oklahoma,"808,866"
47163,Sullivan,TN,Tennessee,"162,135"
48195,Hansford,TX,Texas,"5,071"
48327,Menard,TX,Texas,"1,958"
49055,Wayne,UT,Utah,"2,614"
51125,Nelson,VA,Virginia,"14,705"
51790,Staunton,VA,Virginia,"25,915"
54069,Ohio,WV,West Virginia,"41,194"
55055,Jefferson,WI,Wisconsin,"85,743"
55091,Pepin,WI,Wisconsin,"7,441"
55123,Vernon,WI,Wisconsin,"31,170"
5129,Searcy,AR,Arkansas,"7,806"
1053,Escambia,AL,Alabama,"36,558"
4017,Navajo,AZ,Arizona,"109,175"
1015,Calhoun,AL,Alabama,"116,429"
6033,Lake,CA,California,"67,878"
59,,US,United States,"334,914,895"
1133,Winston,AL,Alabama,"23,611"
2220,Sitka,AK,Alaska,"8,282"
2020,Anchorage,AK,Alaska,"286,075"
5149,Yell,AR,Arkansas,"20,044"
5023,Cleburne,AR,Arkansas,"25,445"
6065,Riverside,CA,California,"2,492,442"
1073,Jefferson,AL,Alabama,"662,895"
1039,Covington,AL,Alabama,"37,952"
6019,Fresno,CA,California,"1,017,162"
2013,Aleutians East,AK,Alaska,"3,461"
5025,Cleveland,AR,Arkansas,"7,378"
5003,Ashley,AR,Arkansas,"18,262"
2070,Dillingham,AK,Alaska,"4,607"
1095,Marshall,AL,Alabama,"100,756"
5047,Franklin,AR,Arkansas,"17,468"
6015,Del Norte,CA,California,"26,589"
1035,Conecuh,AL,Alabama,"11,174"
1103,Morgan,AL,Alabama,"125,133"
5009,Boone,AR,Arkansas,"38,530"
1019,Cherokee,AL,Alabama,"25,666"
6031,Kings,CA,California,"152,682"
6011,Colusa,CA,California,"22,037"
6061,Placer,CA,California,"423,561"
6067,Sacramento,CA,California,"1,584,288"
1109,Pike,AL,Alabama,"33,137"
1045,Dale,AL,Alabama,"49,871"
1031,Coffee,AL,Alabama,"55,643"
5147,Woodruff,AR,Arkansas,"5,964"
5039,Dallas,AR,Arkansas,"6,185"
5107,Phillips,AR,Arkansas,"14,961"
5109,Pike,AR,Arkansas,"10,208"
1033,Colbert,AL,Alabama,"58,361"
5041,Desha,AR,Arkansas,"10,479"
2105,Hoonah-Angoon,AK,Alaska,"2,262"
1013,Butler,AL,Alabama,"18,382"
5123,St. Francis,AR,Arkansas,"22,101"
6069,San Benito,CA,California,"68,175"
2110,Juneau,AK,Alaska,"31,555"
6027,Inyo,CA,California,"18,527"
2016,Aleutians West,AK,Alaska,"5,160"
2180,Nome,AK,Alaska,"9,763"
5133,Sevier,AR,Arkansas,"15,632"
6051,Mono,CA,California,"13,066"
2090,Fairbanks North Star,AK,Alaska,"94,840"
5103,Ouachita,AR,Arkansas,"21,793"
6063,Plumas,CA,California,"19,131"
5075,Lawrence,AR,Arkansas,"16,318"
1007,Bibb,AL,Alabama,"21,868"
5005,Baxter,AR,Arkansas,"42,875"
5089,Marion,AR,Arkansas,"17,514"
1119,Sumter,AL,Alabama,"11,727"
2150,Kodiak Island,AK,Alaska,"12,565"
1071,Jackson,AL,Alabama,"53,467"
5121,Randolph,AR,Arkansas,"18,907"
1043,Cullman,AL,Alabama,"92,016"
5031,Craighead,AR,Arkansas,"113,993"
5033,Crawford,AR,Arkansas,"61,891"
5061,Howard,AR,Arkansas,"12,533"
1055,Etowah,AL,Alabama,"103,241"
1113,Russell,AL,Alabama,"58,744"
1075,Lamar,AL,Alabama,"13,661"
1101,Montgomery,AL,Alabama,"224,980"
1081,Lee,AL,Alabama,"183,215"
5015,Carroll,AR,Arkansas,"28,814"
1099,Monroe,AL,Alabama,"19,229"
2063,Chugach,AK,Alaska,"6,769"
6025,Imperial,CA,California,"179,057"
5043,Drew,AR,Arkansas,"16,945"
1057,Fayette,AL,Alabama,"15,967"
1001,Autauga,AL,Alabama,"60,342"
5001,Arkansas,AR,Arkansas,"16,307"
1051,Elmore,AL,Alabama,"90,441"
1121,Talladega,AL,Alabama,"81,132"
1049,DeKalb,AL,Alabama,"72,569"
5093,Mississippi,AR,Arkansas,"38,663"
5029,Conway,AR,Arkansas,"21,077"
4003,Cochise,AZ,Arizona,"124,640"
6071,San Bernardino,CA,California,"2,195,611"
5055,Greene,AR,Arkansas,"46,743"
2240,Southeast Fairbanks,AK,Alaska,"7,077"
2282,Yakutat,AK,Alaska,687
5145,White,AR,Arkansas,"78,452"
1131,Wilcox,AL,Alabama,"9,944"
4019,Pima,AZ,Arizona,"1,063,162"
4007,Gila,AZ,Arizona,"54,003"
1089,Madison,AL,Alabama,"412,600"
5071,Johnson,AR,Arkansas,"26,129"
2230,Skagway,AK,Alaska,"1,095"
1083,Limestone,AL,Alabama,"114,654"
1047,Dallas,AL,Alabama,"36,165"
1009,Blount,AL,Alabama,"59,816"
1037,Coosa,AL,Alabama,"10,268"
6037,Los Angeles,CA,California,"9,663,345"
1025,Clarke,AL,Alabama,"22,337"
5115,Pope,AR,Arkansas,"64,593"
1117,Shelby,AL,Alabama,"233,000"
5099,Nevada,AR,Arkansas,"8,120"
5079,Lincoln,AR,Arkansas,"12,898"
1041,Crenshaw,AL,Alabama,"13,101"
6005,Amador,CA,California,"41,811"
6007,Butte,CA,California,"207,172"
1077,Lauderdale,AL,Alabama,"96,814"
5119,Pulaski,AR,Arkansas,"400,009"
5135,Sharp,AR,Arkansas,"17,968"
1029,Cleburne,AL,Alabama,"15,639"
6057,Nevada,CA,California,"102,037"
2275,Wrangell,AK,Alaska,"2,064"
5077,Lee,AR,Arkansas,"8,201"
5019,Clark,AR,Arkansas,"21,274"
2100,Haines,AK,Alaska,"2,070"
5057,Hempstead,AR,Arkansas,"19,343"
1021,Chilton,AL,Alabama,"46,431"
5011,Bradley,AR,Arkansas,"10,104"
1085,Lowndes,AL,Alabama,"9,717"
6035,Lassen,CA,California,"28,861"
1097,Mobile,AL,Alabama,"411,640"
1023,Choctaw,AL,Alabama,"12,252"
1005,Barbour,AL,Alabama,"24,585"
5037,Cross,AR,Arkansas,"16,420"
4011,Greenlee,AZ,Arizona,"9,369"
1059,Franklin,AL,Alabama,"31,802"
4015,Mohave,AZ,Arizona,"223,682"
5125,Saline,AR,Arkansas,"129,574"
5017,Chicot,AR,Arkansas,"9,538"
6013,Contra Costa,CA,California,"1,155,025"
6047,Merced,CA,California,"291,920"
5063,Independence,AR,Arkansas,"38,320"
1087,Macon,AL,Alabama,"18,370"
2164,Lake and Peninsula,AK,Alaska,"1,331"
5139,Union,AR,Arkansas,"37,397"
2188,Northwest Arctic,AK,Alaska,"7,361"
6039,Madera,CA,California,"162,858"
1067,Henry,AL,Alabama,"17,899"
1063,Greene,AL,Alabama,"7,341"
5131,Sebastian,AR,Arkansas,"129,098"
1061,Geneva,AL,Alabama,"26,988"
6001,Alameda,CA,California,"1,622,188"
5127,Scott,AR,Arkansas,"9,851"
6053,Monterey,CA,California,"430,723"
4023,Santa Cruz,AZ,Arizona,"49,158"
1129,Washington,AL,Alabama,"15,022"
5027,Columbia,AR,Arkansas,"22,150"
6023,Humboldt,CA,California,"133,985"
2066,Copper River,AK,Alaska,"2,674"
5083,Logan,AR,Arkansas,"21,400"
2122,Kenai Peninsula,AK,Alaska,"61,223"
5141,Van Buren,AR,Arkansas,"16,142"
1027,Clay,AL,Alabama,"14,111"
5021,Clay,AR,Arkansas,"14,201"
4013,Maricopa,AZ,Arizona,"4,585,871"
5069,Jefferson,AR,Arkansas,"63,661"
2050,Bethel,AK,Alaska,"18,224"
6043,Mariposa,CA,California,"16,919"
1017,Chambers,AL,Alabama,"34,079"
6009,Calaveras,CA,California,"46,565"
4025,Yavapai,AZ,Arizona,"249,081"
1011,Bullock,AL,Alabama,"9,897"
5049,Fulton,AR,Arkansas,"12,421"
5059,Hot Spring,AR,Arkansas,"33,258"
6021,Glenn,CA,California,"28,129"
2198,Prince of Wales-Hyder,AK,Alaska,"5,696"
4021,Pinal,AZ,Arizona,"484,239"
5007,Benton,AR,Arkansas,"311,013"
5091,Miller,AR,Arkansas,"42,415"
5087,Madison,AR,Arkansas,"17,775"
1127,Walker,AL,Alabama,"64,728"
4005,Coconino,AZ,Arizona,"144,472"
4001,Apache,AZ,Arizona,"65,036"
5065,Izard,AR,Arkansas,"14,169"
5053,Grant,AR,Arkansas,"18,383"
2068,Denali,AK,Alaska,"1,584"
1091,Marengo,AL,Alabama,"18,684"
2130,Ketchikan Gateway,AK,Alaska,"13,738"
2158,Kusilvak,AK,Alaska,"8,001"
5097,Montgomery,AR,Arkansas,"8,620"
5013,Calhoun,AR,Arkansas,"4,641"
2185,North Slope,AK,Alaska,"10,603"
5101,Newton,AR,Arkansas,"7,071"
5035,Crittenden,AR,Arkansas,"47,139"
1107,Pickens,AL,Alabama,"18,688"
5111,Poinsett,AR,Arkansas,"22,397"
1003,Baldwin,AL,Alabama,"253,507"
5051,Garland,AR,Arkansas,"99,784"
1105,Perry,AL,Alabama,"7,738"
1111,Randolph,AL,Alabama,"22,786"
1093,Marion,AL,Alabama,"29,244"
6059,Orange,CA,California,"3,135,755"
6055,Napa,CA,California,"133,216"
2170,Matanuska-Susitna,AK,Alaska,"115,239"
1125,Tuscaloosa,AL,Alabama,"237,373"
5105,Perry,AR,Arkansas,"10,184"
5081,Little River,AR,Arkansas,"11,805"
1065,Hale,AL,Alabama,"14,888"
6003,Alpine,CA,California,"1,141"
1115,St. Clair,AL,Alabama,"95,552"
6017,El Dorado,CA,California,"192,215"
5113,Polk,AR,Arkansas,"19,436"
6041,Marin,CA,California,"254,407"
5085,Lonoke,AR,Arkansas,"75,944"
2060,Bristol Bay,AK,Alaska,844
5143,Washington,AR,Arkansas,"261,549"
5117,Prairie,AR,Arkansas,"8,036"
2195,Petersburg,AK,Alaska,"3,427"
5045,Faulkner,AR,Arkansas,"129,951"
4009,Graham,AZ,Arizona,"39,525"
1069,Houston,AL,Alabama,"108,462"
2290,Yukon-Koyukuk,AK,Alaska,"5,129"
6045,Mendocino,CA,California,"89,108"
6049,Modoc,CA,California,"8,500"
1123,Tallapoosa,AL,Alabama,"40,677"
6029,Kern,CA,California,"913,820"
4027,Yuma,AZ,Arizona,"213,221"
1079,Lawrence,AL,Alabama,"33,502"
5073,Lafayette,AR,Arkansas,"6,095"
4012,La Paz,AZ,Arizona,"16,710"
5095,Monroe,AR,Arkansas,"6,512"
5137,Stone,AR,Arkansas,"12,671"
5067,Jackson,AR,Arkansas,"16,784"
13089,DeKalb,GA,Georgia,"762,992"
13071,Colquitt,GA,Georgia,"46,167"
8011,Bent,CO,Colorado,"5,681"
12049,Hardee,FL,Florida,"25,760"
6087,Santa Cruz,CA,California,"261,547"
13125,Glascock,GA,Georgia,"2,954"
6073,San Diego,CA,California,"3,269,973"
8107,Routt,CO,Colorado,"25,064"
12011,Broward,FL,Florida,"1,962,531"
8115,Sedgwick,CO,Colorado,"2,299"
12087,Monroe,FL,Florida,"80,614"
13157,Jackson,GA,Georgia,"88,615"
8013,Boulder,CO,Colorado,"326,831"
8035,Douglas,CO,Colorado,"383,906"
8109,Saguache,CO,Colorado,"6,688"
6113,Yolo,CA,California,"220,544"
13109,Evans,GA,Georgia,"10,754"
8111,San Juan,CO,Colorado,802
12091,Okaloosa,FL,Florida,"218,464"
12065,Jefferson,FL,Florida,"15,450"
9120,Greater Bridgeport,CT,Connecticut,"327,651"
8061,Kiowa,CO,Colorado,"1,384"
12117,Seminole,FL,Florida,"484,271"
13107,Emanuel,GA,Georgia,"23,119"
6109,Tuolumne,CA,California,"54,204"
8071,Las Animas,CO,Colorado,"14,348"
12073,Leon,FL,Florida,"296,913"
6091,Sierra,CA,California,"3,200"
13123,Gilmer,GA,Georgia,"32,860"
13103,Effingham,GA,Georgia,"71,541"
13165,Jenkins,GA,Georgia,"8,627"
13153,Houston,GA,Georgia,"171,974"
13159,Jasper,GA,Georgia,"16,455"
8079,Mineral,CO,Colorado,944
8003,Alamosa,CO,Colorado,"16,655"
6105,Trinity,CA,California,"15,670"
13087,Decatur,GA,Georgia,"29,087"
12109,St. Johns,FL,Florida,"320,110"
13049,Charlton,GA,Georgia,"12,934"
6107,Tulare,CA,California,"479,468"
9150,Northeastern Connecticut,CT,Connecticut,"96,692"
13065,Clinch,GA,Georgia,"6,746"
13161,Jeff Davis,GA,Georgia,"14,906"
9160,Northwest Hills,CT,Connecticut,"113,463"
13119,Franklin,GA,Georgia,"24,782"
8113,San Miguel,CO,Colorado,"7,868"
11001,District of Columbia,DC,District of Columbia,"678,972"
13075,Cook,GA,Georgia,"17,714"
13141,Hancock,GA,Georgia,"8,676"
9130,Lower Connecticut River Valley,CT,Connecticut,"176,215"
13045,Carroll,GA,Georgia,"127,098"
13015,Bartow,GA,Georgia,"115,041"
6081,San Mateo,CA,California,"726,353"
12069,Lake,FL,Florida,"424,462"
13029,Bryan,GA,Georgia,"49,739"
8091,Ouray,CO,Colorado,"5,176"
9190,Western Connecticut,CT,Connecticut,"623,907"
13155,Irwin,GA,Georgia,"9,120"
8031,Denver,CO,Colorado,"716,577"
13063,Clayton,GA,Georgia,"298,300"
8001,Adams,CO,Colorado,"533,365"
12097,Osceola,FL,Florida,"437,784"
12101,Pasco,FL,Florida,"632,996"
12133,Washington,FL,Florida,"25,602"
8014,Broomfield,CO,Colorado,"76,860"
8083,Montezuma,CO,Colorado,"26,531"
8037,Eagle,CO,Colorado,"54,381"
8069,Larimer,CO,Colorado,"370,771"
8045,Garfield,CO,Colorado,"62,707"
12081,Manatee,FL,Florida,"441,095"
8065,Lake,CO,Colorado,"7,365"
8121,Washington,CO,Colorado,"4,855"
13115,Floyd,GA,Georgia,"100,113"
12113,Santa Rosa,FL,Florida,"203,162"
8015,Chaffee,CO,Colorado,"20,617"
6075,San Francisco,CA,California,"808,988"
12063,Jackson,FL,Florida,"48,622"
8093,Park,CO,Colorado,"18,117"
8007,Archuleta,CO,Colorado,"14,189"
13031,Bulloch,GA,Georgia,"84,327"
12095,Orange,FL,Florida,"1,471,416"
12031,Duval,FL,Florida,"1,030,822"
13163,Jefferson,GA,Georgia,"15,183"
12127,Volusia,FL,Florida,"590,357"
12017,Citrus,FL,Florida,"166,696"
13091,Dodge,GA,Georgia,"19,776"
12019,Clay,FL,Florida,"232,439"
13085,Dawson,GA,Georgia,"31,732"
8105,Rio Grande,CO,Colorado,"11,188"
12051,Hendry,FL,Florida,"43,333"
12035,Flagler,FL,Florida,"131,439"
8055,Huerfano,CO,Colorado,"7,055"
13011,Banks,GA,Georgia,"19,789"
12013,Calhoun,FL,Florida,"13,470"
6115,Yuba,CA,California,"85,722"
8047,Gilpin,CO,Colorado,"5,926"
13121,Fulton,GA,Georgia,"1,079,105"
6083,Santa Barbara,CA,California,"441,257"
6111,Ventura,CA,California,"829,590"
13129,Gordon,GA,Georgia,"59,757"
6099,Stanislaus,CA,California,"551,430"
12107,Putnam,FL,Florida,"75,955"
13057,Cherokee,GA,Georgia,"286,602"
8087,Morgan,CO,Colorado,"29,524"
13037,Calhoun,GA,Georgia,"5,457"
13019,Berrien,GA,Georgia,"18,570"
13097,Douglas,GA,Georgia,"149,160"
13099,Early,GA,Georgia,"10,563"
13001,Appling,GA,Georgia,"18,457"
8041,El Paso,CO,Colorado,"744,215"
13061,Clay,GA,Georgia,"2,853"
13077,Coweta,GA,Georgia,"155,892"
6103,Tehama,CA,California,"64,896"
